neighbourhood_code,tax_assessment_year,property_type,median,count
1,2020.0,condo,801000.0,881
1,2020.0,detached,2810300.0,3374
1,2020.0,other,77558000.0,1
1,2021.0,condo,848000.0,915
1,2021.0,detached,2997000.0,3376
1,2021.0,other,80688000.0,1
1,2022.0,condo,920000.0,917
1,2022.0,detached,3473000.0,3380
1,2022.0,other,92469000.0,1
1,2023.0,condo,978940.0,917
1,2023.0,detached,3462000.0,3379
1,2024.0,condo,991000.0,921
1,2024.0,detached,3556000.0,3375
1,2024.0,other,52423000.0,1
1,2025.0,condo,1018000.0,931
1,2025.0,detached,3620000.0,3373
1,2025.0,other,52951000.0,1
1,2026.0,condo,995700.0,920
1,2026.0,detached,3379500.0,3370
1,2026.0,other,48677000.0,1
2,2020.0,condo,747000.0,10452
2,2020.0,detached,2263150.0,4088
2,2020.0,other,114500.0,6
2,2021.0,condo,785150.0,10486
2,2021.0,detached,2514000.0,4080
2,2021.0,other,117500.0,6
2,2022.0,condo,870500.0,10542
2,2022.0,detached,2843600.0,4075
2,2022.0,other,136500.0,6
2,2023.0,condo,926000.0,10425
2,2023.0,detached,2911000.0,4069
2,2023.0,other,145000.0,6
2,2024.0,condo,939200.0,10467
2,2024.0,detached,2930000.0,4062
2,2024.0,other,147000.0,6
2,2025.0,condo,940000.0,10548
2,2025.0,detached,2957000.0,4046
2,2025.0,other,147000.0,6
2,2026.0,condo,935000.0,10638
2,2026.0,detached,2794000.0,4025
2,2026.0,other,136500.0,6
3,2020.0,condo,745000.0,506
3,2020.0,detached,2628750.0,6210
3,2021.0,condo,773000.0,506
3,2021.0,detached,2814150.0,6210
3,2022.0,condo,829500.0,520
3,2022.0,detached,3255000.0,6207
3,2023.0,condo,881961.0,530
3,2023.0,detached,3238500.0,6202
3,2024.0,condo,986000.0,636
3,2024.0,detached,3369000.0,6185
3,2025.0,condo,1012900.0,670
3,2025.0,detached,3439000.0,6179
3,2026.0,condo,1066000.0,704
3,2026.0,detached,3213150.0,6168
4,2020.0,condo,1008000.0,1696
4,2020.0,detached,2945000.0,3003
4,2021.0,condo,1001000.0,1708
4,2021.0,detached,3161000.0,3001
4,2022.0,condo,1056000.0,1714
4,2022.0,detached,3595000.0,2992
4,2023.0,condo,1118000.0,1725
4,2023.0,detached,3548000.0,2992
4,2024.0,condo,1147000.0,1729
4,2024.0,detached,3673500.0,2977
4,2025.0,condo,1164819.0,1740
4,2025.0,detached,3729000.0,2971
4,2026.0,condo,1135000.0,1763
4,2026.0,detached,3394000.0,2964
5,2020.0,condo,1123000.0,1465
5,2020.0,detached,3181000.0,3323
5,2021.0,condo,1157000.0,1465
5,2021.0,detached,3247100.0,3324
5,2022.0,condo,1203000.0,1469
5,2022.0,detached,3713000.0,3320
5,2023.0,condo,1260000.0,1469
5,2023.0,detached,3754000.0,3321
5,2024.0,condo,1264000.0,1484
5,2024.0,detached,3847500.0,3310
5,2025.0,condo,1308000.0,1534
5,2025.0,detached,3935397.0,3305
5,2026.0,condo,1305500.0,1542
5,2026.0,detached,3631000.0,3303
6,2020.0,condo,979000.0,477
6,2020.0,detached,4107000.0,2305
6,2020.0,other,2109000.0,1
6,2021.0,condo,1087000.0,479
6,2021.0,detached,4325500.0,2304
6,2021.0,other,2245000.0,1
6,2022.0,condo,1276000.0,483
6,2022.0,detached,4875000.0,2303
6,2022.0,other,5154000.0,1
6,2023.0,condo,1457765.0,499
6,2023.0,detached,5056500.0,2300
6,2023.0,other,3439600.0,1
6,2024.0,condo,1558000.0,499
6,2024.0,detached,5158000.0,2295
6,2024.0,other,4039800.0,1
6,2025.0,condo,1490000.0,509
6,2025.0,detached,5210500.0,2294
6,2025.0,other,5507000.0,1
6,2026.0,condo,1449000.0,509
6,2026.0,detached,4711500.0,2294
6,2026.0,other,5202000.0,1
7,2020.0,condo,740950.0,12250
7,2020.0,detached,4888800.0,550
7,2021.0,condo,773000.0,12269
7,2021.0,detached,4731000.0,547
7,2022.0,condo,842000.0,12272
7,2022.0,detached,5036000.0,547
7,2023.0,condo,892000.0,12271
7,2023.0,detached,4860000.0,546
7,2024.0,condo,897000.0,12248
7,2024.0,detached,4592000.0,543
7,2025.0,condo,886000.0,12252
7,2025.0,detached,4462000.0,543
7,2026.0,condo,874000.0,12254
7,2026.0,detached,4321000.0,543
8,2020.0,condo,781000.0,1834
8,2020.0,detached,2502000.0,1302
8,2021.0,condo,815000.0,2099
8,2021.0,detached,2667000.0,1299
8,2022.0,condo,897000.0,2176
8,2022.0,detached,2989050.0,1298
8,2023.0,condo,968000.0,2176
8,2023.0,detached,3109600.0,1299
8,2024.0,condo,971000.0,2208
8,2024.0,detached,3219650.0,1298
8,2025.0,condo,996000.0,2464
8,2025.0,detached,3296000.0,1290
8,2026.0,condo,977000.0,2541
8,2026.0,detached,3120700.0,1287
9,2020.0,condo,1034500.0,1316
9,2020.0,detached,3040000.0,2439
